address_id,address,address2,district,city_id,postal_code,phone,last_update_year,last_update_month,last_update_day,last_update_hour,last_update_minute,last_update_second
1,47 MySakila Drive,None, ,300,None, ,2021,3,6,15,51,54
2,28 MySQL Boulevard,None, ,576,None, ,2021,3,6,15,51,54
3,23 Workhaven Lane,None, ,300,None, ,2021,3,6,15,51,54
4,1411 Lillydale Drive,None, ,576,None, ,2021,3,6,15,51,54
5,1913 Hanoi Way,None, ,463,35200, ,2021,3,6,15,51,54
6,1121 Loja Avenue,None, ,449,17886, ,2021,3,6,15,51,54
7,692 Joliet Street,None, ,38,83579, ,2021,3,6,15,51,54
8,1566 Inegl Manor,None, ,349,53561, ,2021,3,6,15,51,54
9,53 Idfu Parkway,None, ,361,42399, ,2021,3,6,15,51,54
10,1795 Santiago de Compostela Way,None, ,295,18743, ,2021,3,6,15,51,54
11,900 Santiago de Compostela Parkway,None, ,280,93896, ,2021,3,6,15,51,54
12,478 Joliet Way,None, ,200,77948, ,2021,3,6,15,51,54
13,613 Korolev Drive,None, ,329,45844, ,2021,3,6,15,51,54
14,1531 Sal Drive,None, ,162,53628, ,2021,3,6,15,51,54
15,1542 Tarlac Parkway,None, ,440,1027, ,2021,3,6,15,51,54
16,808 Bhopal Manor,None, ,582,10672, ,2021,3,6,15,51,54
17,270 Amroha Parkway,None, ,384,29610, ,2021,3,6,15,51,54
18,770 Bydgoszcz Avenue,None, ,120,16266, ,2021,3,6,15,51,54
19,419 Iligan Lane,None, ,76,72878, ,2021,3,6,15,51,54
20,360 Toulouse Parkway,None, ,495,54308, ,2021,3,6,15,51,54
21,270 Toulon Boulevard,None, ,156,81766, ,2021,3,6,15,51,54
22,320 Brest Avenue,None, ,252,43331, ,2021,3,6,15,51,54
23,1417 Lancaster Avenue,None, ,267,72192, ,2021,3,6,15,51,54
24,1688 Okara Way,None, ,327,21954, ,2021,3,6,15,51,54
25,262 A Corua (La Corua) Parkway,None, ,525,34418, ,2021,3,6,15,51,54
26,28 Charlotte Amalie Street,None, ,443,37551, ,2021,3,6,15,51,54
27,1780 Hino Boulevard,None, ,303,7716, ,2021,3,6,15,51,54
28,96 Tafuna Way,None, ,128,99865, ,2021,3,6,15,51,54
29,934 San Felipe de Puerto Plata Street,None, ,472,99780, ,2021,3,6,15,51,54
30,18 Duisburg Boulevard,None, ,121,58327, ,2021,3,6,15,51,54
31,217 Botshabelo Place,None, ,138,49521, ,2021,3,6,15,51,54
32,1425 Shikarpur Manor,None, ,346,65599, ,2021,3,6,15,51,54
33,786 Aurora Avenue,None, ,474,65750, ,2021,3,6,15,51,54
34,1668 Anpolis Street,None, ,316,50199, ,2021,3,6,15,51,54
35,33 Gorontalo Way,None, ,257,30348, ,2021,3,6,15,51,54
36,176 Mandaluyong Place,None, ,239,65213, ,2021,3,6,15,51,54
37,127 Purnea (Purnia) Manor,None, ,17,79388, ,2021,3,6,15,51,54
38,61 Tama Street,None, ,284,94065, ,2021,3,6,15,51,54
39,391 Callao Drive,None, ,544,34021, ,2021,3,6,15,51,54
40,334 Munger (Monghyr) Lane,None, ,31,38145, ,2021,3,6,15,51,54
41,1440 Fukuyama Loop,None, ,362,47929, ,2021,3,6,15,51,54
42,269 Cam Ranh Parkway,None, ,115,34689, ,2021,3,6,15,51,54
43,306 Antofagasta Place,None, ,569,3989, ,2021,3,6,15,51,54
44,671 Graz Street,None, ,353,94399, ,2021,3,6,15,51,54
45,42 Brindisi Place,None, ,586,16744, ,2021,3,6,15,51,54
46,1632 Bislig Avenue,None, ,394,61117, ,2021,3,6,15,51,54
47,1447 Imus Way,None, ,167,48942, ,2021,3,6,15,51,54
48,1998 Halifax Drive,None, ,308,76022, ,2021,3,6,15,51,54
49,1718 Valencia Street,None, ,27,37359, ,2021,3,6,15,51,54
50,46 Pjatigorsk Lane,None, ,343,23616, ,2021,3,6,15,51,54
51,686 Garland Manor,None, ,247,52535, ,2021,3,6,15,51,54
52,909 Garland Manor,None, ,367,69367, ,2021,3,6,15,51,54
53,725 Isesaki Place,None, ,237,74428, ,2021,3,6,15,51,54
54,115 Hidalgo Parkway,None, ,379,80168, ,2021,3,6,15,51,54
55,1135 Izumisano Parkway,None, ,171,48150, ,2021,3,6,15,51,54
